search_batch_id	sample_category	pubmed_id
9485	Liver	24669763
9483	Liver	24669763
9481	Kidney	24669763
9478	Heart	24669763
9476	Heart	24669763
9475	Digestive System	24669763
9474	Digestive System	24669763
9473	Brain	24669763
9472	Brain	24669763
9469	Digestive System	24669763
9468	Digestive System	24669763
9467	Digestive System	24669763
9465	Blood Cells	24669763
9463	Blood Cells	24669763
9460	Blood Cells	24669763
9459	Blood Cells	24669763
9457	Blood Cells	24669763
9455	Adrenal Gland	24669763
9531	Testis	24669763
9529	Placenta	24669763
9527	Ovary	24669763
9526	Ovary	24669763
9524	Liver	24669763
9522	Heart	24669763
9520	Digestive System	24669763
9518	Brain	24669763
9510	Eye	24669763
9503	Blood Cells	24669763
9501	Blood Cells	24669763
9496	Blood Cells	24669763
9494	Blood Cells	24669763
9492	Blood Cells	24669763
9491	Blood Cells	24669763
9489	Lung	24669763
9487	Lung	24669763
9486	Liver	24669763
9484	Liver	24669763
9482	Kidney	24669763
9480	Kidney	24669763
9479	Heart	24669763
9477	Heart	24669763
9471	Digestive System	24669763
9470	Digestive System	24669763
9466	Blood Cells	24669763
9464	Blood Cells	24669763
9462	Blood Cells	24669763
9461	Blood Cells	24669763
9458	Blood Cells	24669763
9456	Adrenal Gland	24669763
9454	Adrenal Gland	24669763
7791	Blood Plasma	19782775
8456	Cancer, Breast	25873244
8468	Cancer, Breast	25873244
8483	Cancer, Breast	25873244
8459	Cancer, Breast	25873244
8471	Cancer, Breast	25873244
8463	Cancer, Breast	25873244
8470	Cancer, Breast	25873244
8464	Cancer, Breast	25873244
8489	Cancer, Breast	25873244
